name,lat,lon,addr:city,tower:construction,tower:type,tourism,height,building,wikipedia,charge,start_date,access,surveillance,man_made,darkness_value,falchi_category
Unnamed POI,48.9837568,14.472445,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance,1.8492681,Žlutá (Velmi silné znečištění)
Unnamed POI,48.9835896,14.4718253,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance,1.8492681,Žlutá (Velmi silné znečištění)
Unnamed POI,49.6309629,18.1138909,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.38946012,Tmavě zelená (Znečištěná)
Unnamed POI,50.1794735,14.3713196,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.8988653,Zelená (Silné znečištění)
Unnamed POI,50.0659513,14.5250392,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance,3.5571775,Oranžová (Extrémní znečištění)
Unnamed POI,49.9558519,13.6829589,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.07455442,Tmavě modrá (Slabé znečištění)
Unnamed POI,48.9833586,14.4718389,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance,1.8492681,Žlutá (Velmi silné znečištění)
Unnamed POI,50.229069,14.3764819,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.69573706,Zelená (Silné znečištění)
Český betlém,50.3387766,16.160658,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.21511789,Světle modrá (Střední znečištění)
Unnamed POI,49.5913659,17.4985159,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.18581213,Světle modrá (Střední znečištění)
Unnamed POI,50.5978019,14.4571707,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.13640654,Modrá (Mírné znečištění)
Unnamed POI,50.594919,14.4568454,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.12963298,Modrá (Mírné znečištění)
Unnamed POI,50.605496,14.420985,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.14031462,Modrá (Mírné znečištění)
Unnamed POI,50.605491,14.4215078,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.14031462,Modrá (Mírné znečištění)
Unnamed POI,49.0982555,16.262925,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.14799178,Modrá (Mírné znečištění)
Unnamed POI,50.595426,14.4463563,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.12935674,Modrá (Mírné znečištění)
Unnamed POI,50.5946343,14.4441249,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.12935674,Modrá (Mírné znečištění)
