name,lat,lon,darkness_value,falchi_category,reachable_from_city,addr_city
Krásná vyhlídka,50.6903506,14.8847784,0.15406295657157898,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8278384,14.5117451,0.12167327105998993,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8521284,15.172077,0.14267100393772125,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8526163,14.5636224,0.1245679035782814,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8184054,14.7123523,0.13092277944087982,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8173514,14.7139777,0.13092277944087982,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8071926,14.5495588,0.13337980210781097,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7803172,14.6680258,0.15015017986297607,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7325435,14.413268,0.1582876592874527,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8406206,14.56929,0.11930689215660095,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5963026,15.2502894,0.15739956498146057,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5975293,15.2555841,0.15739956498146057,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5391495,14.7191785,0.13940474390983582,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5394644,14.7201656,0.13940474390983582,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7846573,14.6594212,0.15775372087955475,Modrá (Mírné znečištění),Liberec,Unknown
Hájníkův kohout,50.8901757,15.2171957,0.1389780044555664,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5875878,14.672842,0.14074358344078064,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7472265,14.7132871,0.15441355109214783,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7542793,14.685545,0.14878299832344055,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7866567,14.4123271,0.1568707376718521,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7844386,14.4221064,0.1568264365196228,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7781924,14.6714802,0.15909773111343384,Modrá (Mírné znečištění),Liberec,Unknown
