name,lat,lon,darkness_value,falchi_category,reachable_from_city,addr_city
Vřesník,49.5343,15.2497,0.10487852245569229,Modrá (Mírné znečištění),Jihlava,Unknown
U Spáleného mostu,49.2759,15.7779,0.12106571346521378,Modrá (Mírné znečištění),Jihlava,Unknown
vyhlídka Vejdoch,49.5361,16.0127,0.12570181488990784,Modrá (Mírné znečištění),Jihlava,Unknown
Vyhlídka na Šmahlířce,49.3814,15.3565,0.08880487084388733,Modrá (Mírné znečištění),Jihlava,Unknown
Amorova vyhlídka,49.3552,16.3492,0.1520197093486786,Modrá (Mírné znečištění),Jihlava,Unknown
Babylon,49.3848,16.3598,0.13611213862895966,Modrá (Mírné znečištění),brno_45min,Unknown
Vyhlídkové místo Kamínky,49.4813,16.512,0.14679008722305298,Modrá (Mírné znečištění),brno_45min,Unknown
Amorova vyhlídka,49.3552,16.3492,0.1520197093486786,Modrá (Mírné znečištění),brno_45min,Unknown
Vysoký kámen,50.3006,12.4081,0.09396862983703613,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Lohhauser,49.9344,12.5337,0.0627993568778038,Tmavě modrá (Slabé znečištění),Karlovy Vary,Unknown
Vyhlídka Hartwiga Rupperta,50.1007,12.7896,0.1076182872056961,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Rogalová rampa,50.3616,13.1704,0.12993106245994568,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Olověný vrch,50.3675,12.5115,0.11310028284788132,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Chlumská hora,49.9997,13.2321,0.07801762223243713,Tmavě modrá (Slabé znečištění),Karlovy Vary,Unknown
Chlumská hora,50.0055,13.2053,0.06161544471979141,Tmavě modrá (Slabé znečištění),Karlovy Vary,Unknown
Hadí hora,50.3846,12.9347,0.11119364947080612,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Vyhlídka pod Liščím vrchem,50.2825,12.9998,0.15003702044487,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Vyhlídkový altán,49.9018,12.7808,0.10036378353834152,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Okno,50.4019,12.7498,0.09766019880771637,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Strašidlo,50.4013,12.7496,0.09766019880771637,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Borůvčí,50.401,12.7506,0.10126159340143204,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Pohled na lázně,50.3674,12.926,0.15948006510734558,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Duncanova vyhlídka,49.9967,12.6932,0.13699118793010712,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Radechovské skály,50.2781,13.2639,0.07886514812707901,Tmavě modrá (Slabé znečištění),Karlovy Vary,Unknown
Hraběcí kříž,50.0399,13.2961,0.05812970921397209,Tmavě modrá (Slabé znečištění),Karlovy Vary,Unknown
Otevřené dveře Nová Ves,50.3515,12.5454,0.10395178943872452,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Holubí skály,50.4417,12.8095,0.08559894561767578,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Mohyla Karla Klostermanna,50.3722,12.8282,0.11438143998384476,Modrá (Mírné znečištění),Karlovy Vary,Unknown
Pohled z úbočí Malého Travného,49.5607,18.5436,0.12380828708410263,Modrá (Mírné znečištění),Ostrava,Unknown
Zbojnická,49.4363,18.4647,0.08723567426204681,Modrá (Mírné znečištění),Ostrava,Unknown
Skalní ostroh,49.8034,17.7747,0.14436154067516327,Modrá (Mírné znečištění),Ostrava,Unknown
Švédská skála,49.7137,17.7544,0.14049790799617767,Modrá (Mírné znečištění),Ostrava,Unknown
Vyhlídka u osady Jánské Koupele,49.8344,17.7116,0.11430827528238297,Modrá (Mírné znečištění),Ostrava,Unknown
Lorelei,49.8195,17.7106,0.11617695540189743,Modrá (Mírné znečištění),Ostrava,Unknown
Výhled na Beskydy,49.6306,17.7128,0.1482616811990738,Modrá (Mírné znečištění),Ostrava,Unknown
Vyhlídka U jelena,49.6215,17.6207,0.1308652013540268,Modrá (Mírné znečištění),Ostrava,Unknown
