name,lat,lon,darkness_value,falchi_category
Vyhlídka Petra Velikého,50.2228,12.8794,0.70367897,Zelená (Silné znečištění)
Vranovský hřeben,50.6453,15.181,0.22506379,Světle modrá (Střední znečištění)
Pecinova vyhlídka,50.6294,15.1777,0.21540661,Světle modrá (Střední znečištění)
Havraní skály,50.7669,14.5877,0.21100965,Světle modrá (Střední znečištění)
Jestřebické pokličky,50.4632,14.5868,0.13143566,Modrá (Mírné znečištění)
Šafářova skála,50.4089,16.8962,0.09074946,Modrá (Mírné znečištění)
Výhled na Plešné jezero,48.7765,13.8575,0.035495404,Šedá (Téměř přirozená)
Kučerova vyhlídka,48.7747,13.8554,0.035495404,Šedá (Téměř přirozená)
Vyhlídka Nad Soutěskou,48.8648,16.6432,0.15261525,Modrá (Mírné znečištění)
Děčínská výšina,50.789,14.2353,0.42516902,Tmavě zelená (Znečištěná)
Stoličná hora,50.7852,14.2276,0.7674308,Zelená (Silné znečištění)
Ponorka,50.8106,14.4222,0.17395912,Světle modrá (Střední znečištění)
Žába,50.8104,14.4207,0.17395912,Světle modrá (Střední znečištění)
Žába II,50.8087,14.426,0.16422226,Světle modrá (Střední znečištění)
Hořákova,50.6296,15.1985,0.20824063,Světle modrá (Střední znečištění)
Hallamasskova vyhlídka,48.8935,15.8101,0.066581845,Tmavě modrá (Slabé znečištění)
Vyhlídka „Libverdských pramenů“,50.8921,15.19,0.19096231,Světle modrá (Střední znečištění)
Velké Hradisko,49.8019,16.1705,0.09427445,Modrá (Mírné znečištění)
Raškova vyhlídka,49.5836,18.1629,0.39282703,Tmavě zelená (Znečištěná)
Pechova vyhlídka,50.4667,15.2868,0.14626269,Modrá (Mírné znečištění)
Nad podkovou,49.6273,14.2022,0.086180404,Modrá (Mírné znečištění)
Chebská stráž,50.0835,12.3416,0.4688214,Tmavě zelená (Znečištěná)
Vyhlídka čtyř ročních období,48.8554,16.042,1.0315042,Zelená (Silné znečištění)
Na Plazu,49.9385,13.6558,0.08215795,Modrá (Mírné znečištění)
Dívčí kámen,49.8813,15.587,0.16107073,Světle modrá (Střední znečištění)
Homole,49.9443,14.3982,0.63915205,Tmavě zelená (Znečištěná)
Pasecká skála,49.6156,16.0815,0.09401756,Modrá (Mírné znečištění)
Tři kameny,50.105,17.0479,0.07738724,Tmavě modrá (Slabé znečištění)
vyhlídka Míru,50.4666,15.2912,0.14626269,Modrá (Mírné znečištění)
vyhlídka Českého ráje,50.4667,15.2897,0.14626269,Modrá (Mírné znečištění)
Hlaholská vyhlídka,50.467,15.2957,0.15158527,Modrá (Mírné znečištění)
Všetečkova vyhlídka,50.4677,15.2906,0.14626269,Modrá (Mírné znečištění)
Vyhlídka pražského pěveckého sboru Křížkovský,50.4664,15.2992,0.15158527,Modrá (Mírné znečištění)
Horní můstek,49.3731,16.7293,0.19688983,Světle modrá (Střední znečištění)
Vysoký Ostrý,50.6364,14.0802,0.42890748,Tmavě zelená (Znečištěná)
Pozorovatelny,49.7626,13.9235,0.1106852,Modrá (Mírné znečištění)
Pozorovatelny,49.7637,13.9265,0.114290744,Modrá (Mírné znečištění)
Jindřichova skála,49.768,13.8818,0.10527028,Modrá (Mírné znečištění)
Dopadová plocha,49.7256,13.8675,0.087696016,Modrá (Mírné znečištění)
Čap,50.5547,14.4758,0.1245247,Modrá (Mírné znečištění)
Smrtka,50.637,14.44,0.21969864,Světle modrá (Střední znečištění)
Ronov,50.6204,14.4147,0.14701071,Modrá (Mírné znečištění)
Výří skála,49.3341,16.6472,0.31889564,Světle modrá (Střední znečištění)
Čertův stolek,49.714,15.7124,0.11917089,Modrá (Mírné znečištění)
Železné schody,48.825,15.9674,0.1318699,Modrá (Mírné znečištění)
Vrkoč,50.6309,14.0452,0.614438,Tmavě zelená (Znečištěná)
Na hřebínku,50.032,13.8626,0.13429236,Modrá (Mírné znečištění)
Alpská vyhlídka,49.0042,13.6931,0.039908014,Šedá (Téměř přirozená)
Králův stolec,48.8445,16.0035,0.21298476,Světle modrá (Střední znečištění)
Sealsfieldův kámen,48.8372,15.9982,0.17314547,Světle modrá (Střední znečištění)
rotunda Sv. Kateřiny,48.855,16.0434,1.0315042,Zelená (Silné znečištění)
Karolínina brána,48.8542,16.0459,1.0315042,Zelená (Silné znečištění)
Sněžnická vyhlídka,50.788,14.2332,0.4861298,Tmavě zelená (Znečištěná)
"Panoramic view of the lake, Pruhonice",50.0003,14.5573,1.4955664,Žlutá (Velmi silné znečištění)
Chocholka,50.5862,15.469,0.12652978,Modrá (Mírné znečištění)
Janova vyhlídka,50.5565,15.1734,0.19311774,Světle modrá (Střední znečištění)
Zámecká vyhlídka,50.5464,15.1932,0.16821498,Světle modrá (Střední znečištění)
Lohhauser,49.9344,12.5337,0.06279936,Tmavě modrá (Slabé znečištění)
U Trojice,50.0375,13.8749,0.13743815,Modrá (Mírné znečištění)
