name,lat,lon
Rotštejn,50.5943,15.2242
Máj (448 m),49.8311,14.456
Výhled u posedu,50.7952,15.3325
Beethovenova vyhlídka,49.861,17.8741
Leonardova vyhlídka,49.8612,17.8735
Vyhlídka Liška,50.7199,15.4489
Vyhlídka na hrad Potštejn,50.0754,16.3014
Skalní vyhlídka,50.1988,17.0989
Barunčina vyhlídka,50.4477,15.9981
Vinařická hora,50.1851,14.0864
Slavíček,50.7299,14.6021
Výhled na Štěpánku,50.7619,15.3618
Zelená budka,49.7333,17.307
Velký medlánecký kopec,49.2344,16.5679
Výhled na Český Šumburk,50.7296,15.3395
Puklá skála,50.6946,13.5857
Vlčina,49.5427,18.1951
Koňská vyhlídka,50.1832,17.1015
Rajmanova vyhlídka,50.3231,12.7343
Krásná stráň,49.9421,14.2704
Rozhledna na Vlčí hoře,50.6467,13.6418
Vyhlídka u sv. Jana,49.5382,17.7455
Vrše,49.1209,17.2624
Hanesova vyhlídka,50.0091,16.698
Mlynářův kámen,50.5961,14.0314
Radejčín rozhledna,50.583,14.0112
Vyhídka u Dubice,50.5933,14.0283
Bartůňkova vyhlídka,49.7213,14.3672
Vyhlídka Opata Zaorala,49.7398,14.4044
rozhledna Lázek,49.9257,16.7054
Neštětická hora,49.7692,14.5684
Smetanova vyhlídka,49.8484,14.4522
Třeštibok,49.877,14.4521
Vysoký vrch,50.0584,14.064
Koukolova hora,49.9202,14.0233
Radniční věž,50.292,16.1601
Vysoký kámen,50.4055,16.9315
Doskočilova vyhlídka,50.0035,16.2343
Čertovy kazatelny,50.3686,16.9927
Dánské kameny,50.7487,14.9595
Liběhrad,50.2037,14.3626
Lesná,48.8977,17.6494
"Vyhlídka ""u Martina""",49.2506,16.9145
Zouvalka,49.2522,17.0162
Rajovské skály,48.843,14.3749
Zaječí skok,49.4137,15.5345
Vyhlidka na Český ráj,50.5678,15.2993
Kinského vyhlídka,50.912,14.4563
Věž Landštejn,49.024,15.2309
Vlčí kámen,50.6777,13.7357
Soumarské rašeliniště,48.9016,13.8367
