name,lat,lon
Unnamed POI,50.0663,14.4168
Unnamed POI,50.0651,14.4164
Bohdalec,49.6226,16.1438
Unnamed POI,49.6436,16.1974
Unnamed POI,49.3371,14.2941
Unnamed POI,50.0853,14.4129
Skalka,49.2241,16.7542
Unnamed POI,49.9791,14.3461
Unnamed POI,50.6377,14.0384
Unnamed POI,50.6417,14.0393
Unnamed POI,50.6442,14.0391
Unnamed POI,50.6101,14.0689
Unnamed POI,49.2166,16.6806
Lom Hády,49.2199,16.6742
Unnamed POI,50.1397,14.5509
Unnamed POI,50.1327,14.5495
Unnamed POI,50.1381,14.5539
Plešivec,50.566,14.0881
Krkavčí skála,50.5864,14.0846
Hradiště,50.5689,14.1138
Vyhlídka Vojty Náprstka,49.2955,14.4799
Unnamed POI,50.5268,14.0175
Hrad Krupka,50.6849,13.8559
Malá skála,49.1364,16.2467
Harrachova skála,50.7285,15.5747
vyhlídka,50.676,14.0751
Unnamed POI,50.5943,13.4896
Milíře u Rozvadova,49.6653,12.6224
Na Oklikách,49.0985,16.3996
Unnamed POI,49.1909,16.1559
Unnamed POI,49.2219,16.6662
rozhledna Kanihůra,49.7324,18.0102
Unnamed POI,49.5385,18.3042
Unnamed POI,49.231,13.5437
Unnamed POI,50.8339,15.2595
Unnamed POI,49.9489,13.5881
Krašov,49.9489,13.5887
Unnamed POI,50.9738,14.4324
Unnamed POI,49.9599,13.7449
Unnamed POI,49.7689,18.0025
Unnamed POI,50.8836,14.281
Unnamed POI,50.0,14.0012
Unnamed POI,50.3027,12.5719
Unnamed POI,50.0733,14.3997
Unnamed POI,48.8673,17.394
Hradčanská vyhlídka,50.6179,14.6976
Unnamed POI,50.5314,15.032
Rozhledna na Císařském kameni,50.7132,15.1044
Unnamed POI,49.8408,14.1261
Bílá skála,49.8216,13.6506
Unnamed POI,49.2296,16.6774
Wilsonova vyhlídka,49.1615,16.0898
Unnamed POI,50.5314,13.9511
Květnice,49.3584,16.4146
Unnamed POI,48.9002,17.5557
Chocholík,49.2797,16.9377
Unnamed POI,49.7205,13.4382
Unnamed POI,49.7194,13.4415
Unnamed POI,49.5854,14.4703
Rozhledna Annenský vrch,50.2162,16.5127
Unnamed POI,50.2319,14.095
chata Hrádek,49.6169,18.7709
Unnamed POI,49.9615,14.2019
Juránkova vyhlídka,50.3409,16.1592
Koníček,50.3732,16.1862
Unnamed POI,50.1391,14.5292
Trniště,50.7741,15.1578
Slabošovka,48.7904,14.5384
Rubačka,49.3232,15.9575
Kopaniny,49.5569,16.4047
Zelenkův kopec,49.571,16.4556
Unnamed POI,50.5111,14.5024
Nedvězí,50.507,14.5292
Unnamed POI,48.972,16.7653
Klostermannova Rozhledna,49.1382,13.6535
U Obrázku,48.9151,16.7842
rozhledna Vodojem Bratčice,49.0626,16.5402
Divoký důl,50.0793,17.2029
Unnamed POI,50.7868,14.0312
Unnamed POI,50.7867,14.0319
Unnamed POI,49.54,18.1902
